locus tag	logFC	logCPM	PValue	FDR
SL1344_P2_0028	3,05	4,54	0,18	0,29
SL1344_P1_0048	0,04	3,81	1,00	1,00
STsORF219	-0,92	6,24	0,03	0,07
STsORF245	0,63	3,93	0,54	0,65
SL1344_0343	2,13	4,00	0,12	0,20
SL1344_0357	-1,35	3,64	0,27	0,39
SL1344_1125	-1,12	4,00	0,34	0,46
SL1344_1619	3,19	8,56	0,00	0,00
SL1344_1878	-2,08	5,32	0,00	0,00
SL1344_3882	-0,19	4,92	0,69	0,77
SL1344_P3_0002	-3,14	7,63	0,01	0,02
SL1344_1057	1,25	7,44	0,00	0,01
SL1344_1089	-0,61	3,76	0,52	0,63
SL1344_1341	7,23	9,23	0,00	0,00
SL1344_1913	1,78	4,99	0,00	0,01
SL1344_2204	-2,47	6,69	0,00	0,00
SL1344_2389	-0,04	4,34	0,96	0,97
SL1344_2549	4,92	6,01	0,00	0,00
SL1344_2703	4,06	2,53	0,07	0,14
SL1344_2963	-1,08	8,53	0,00	0,01
SL1344_3012	0,12	7,82	0,68	0,77
SL1344_3472	0,67	6,96	0,06	0,11
SL1344_3525	1,93	5,76	0,04	0,08
SL1344_4326	-2,01	8,39	0,00	0,00
SL1344_0081	-1,50	3,69	0,07	0,14
SL1344_1393	1,26	7,67	0,00	0,00
SL1344_1530A	6,17	8,73	0,00	0,00
SL1344_1533	5,56	7,17	0,00	0,00
SL1344_1698	0,09	5,09	0,86	0,91
SL1344_1810	-1,63	4,16	0,03	0,07
SL1344_2438	0,19	5,56	0,67	0,76
STsORF142	5,17	5,03	0,00	0,00
SL1344_0957	-0,81	5,46	0,23	0,35
SL1344_1523	-1,21	4,96	0,04	0,08
SL1344_2584	0,51	6,31	0,33	0,46
SL1344_2699	0,86	6,85	0,16	0,27
SL1344_2714	-2,21	4,78	0,00	0,01
SL1344_3686	0,04	5,59	0,94	0,96
SL1344_P2_0007	-1,04	6,10	0,02	0,05
SL1344_1133	-1,08	10,95	0,00	0,00
SL1344_1311	-2,93	14,37	0,00	0,00
SL1344_1375	-0,60	4,09	0,42	0,54
SL1344_3474	1,32	7,23	0,00	0,00
SL1344_3694	-2,69	9,38	0,00	0,00
SL1344_4483	1,14	7,71	0,05	0,10
SL1344_1180	-0,40	7,57	0,31	0,43
SL1344_1310	1,51	5,67	0,00	0,00
SL1344_1370	1,63	3,66	0,07	0,13
SL1344_1770	-4,02	4,69	0,00	0,00
SL1344_1780	3,01	7,06	0,00	0,00
SL1344_2397	1,32	4,02	0,23	0,34
SL1344_2781	-1,97	6,41	0,05	0,10
SL1344_3837	0,64	9,72	0,01	0,03
SL1344_4037	-0,47	8,81	0,04	0,09
STsORF5	0,11	6,53	0,75	0,83
STsORF188	-3,19	6,48	0,00	0,00
SL1344_0418	-0,30	5,66	0,46	0,58
SL1344_1254	-0,45	4,80	0,58	0,68
SL1344_1330	6,37	8,12	0,00	0,00
SL1344_1927A	0,78	5,69	0,14	0,24
SL1344_1975	0,57	3,29	0,71	0,79
SL1344_2368	-0,11	4,59	0,87	0,92
SL1344_2455	-1,22	3,42	0,33	0,45
SL1344_2853	-5,07	8,37	0,00	0,00
SL1344_3354	-1,50	3,77	0,13	0,22
SL1344_3539	-6,14	3,97	0,01	0,02
SL1344_4158	2,14	4,60	0,00	0,00
SL1344_4379	0,09	5,98	0,84	0,89
STsORF227	0,07	6,45	0,83	0,89
SL1344_1099	-0,10	7,53	0,82	0,87
SL1344_2162	0,45	3,03	0,68	0,77
SL1344_2790	1,30	5,71	0,06	0,12
SL1344_3543	-1,09	5,76	0,04	0,09
SL1344_P2_0024	-0,45	6,36	0,52	0,63
SL1344_P2_0082	1,27	3,64	0,10	0,19
SL1344_P1_0026	-1,00	3,69	0,42	0,54
SL1344_P1_0102	-1,69	9,05	0,00	0,00
STsORF81	-1,36	5,73	0,05	0,10
STsORF172	0,08	3,57	0,93	0,96
SL1344_0570	-0,21	3,95	0,79	0,86
SL1344_1202	2,16	5,34	0,00	0,00
SL1344_1210	-1,13	6,96	0,00	0,00
SL1344_1342	8,13	9,32	0,00	0,00
SL1344_1480	0,12	7,11	0,82	0,87
SL1344_2583	-0,99	6,91	0,10	0,18
SL1344_2649	-1,37	8,85	0,01	0,02
SL1344_2860	-1,85	6,98	0,00	0,00
SL1344_3117	0,91	3,76	0,33	0,45
STsORF50	-0,07	6,06	0,85	0,90
SL1344_0781	-2,80	3,47	0,03	0,06
SL1344_1211	2,88	7,30	0,00	0,00
SL1344_1647	0,39	6,58	0,25	0,37
SL1344_3668	0,21	6,75	0,50	0,62
STsORF116	-4,06	4,30	0,00	0,00
SL1344_0238	0,82	7,23	0,01	0,03
SL1344_1224A	0,65	4,61	0,25	0,37
SL1344_1593	-0,71	6,73	0,04	0,08
SL1344_1603	-0,40	4,54	0,56	0,67
SL1344_1725	1,76	4,72	0,01	0,02
