GeneID;Locus_tag;Strand;Start;End;EL (Biological replicate 1);EL (Biological replicate 2);EL (Biological replicate 3);ML (Biological replicate 1);ML (Biological replicate 2);ML (Biological replicate 3);SP (Biological replicate 1);SP (Biological replicate 2);SP (Biological replicate 3);EL_TEX (Biological replicate 1);EL_TEX (Biological replicate 2);EL_TEX(Biological replicate 3);ML_TEX (Biological replicate 1);ML_TEX (Biological replicate 2);ML_TEX (Biological replicate 3);SP_TEX (Biological replicate 1);SP_TEX (Biological replicate 2);SP_TEX (Biological replicate 3)
1075064;BT_0045;+;41534;42700;112886155;113114699;99266755;0;498760824;204551399;295459053;429982763;0;200821104;694024627;777811893;925354956;121569404;684392812;2590853192;2673353157;952853558
1075066;BT_0046;+;42724;43656;282396876;424452907;496652962;27497632;467888972;12792684;246374216;672280124;556378894;125593906;124012669;0;578718775;584844153;244583191;675135244;911956485;397277636
1075069;BT_0047;+;43671;44066;0;0;877608359;0;0;602806775;290236292;633573086;327715598;887720563;0;32745544;272699301;275585654;288126411;31813191;1074312374;2184023771
1072053;BT_0048;+;44162;44638;276180592;553479472;0;537846764;0;25022168;0;262992602;0;0;727696981;543699598;226391873;0;0;0;891881971;259021687
1074935;BT_0049;+;44647;45582;562983515;423092481;0;959332449;310926219;127516818;884104399;0;138648907;375574084;247230384;41561652;576863907;11659393;243799271;672971348;6197956;264002873
1075063;BT_0050;+;45594;46565;271066137;271614926;238362764;395914979;449115649;613969864;709466493;645305921;400541287;261201729;0;133407772;222199431;505240365;352154502;648046484;437682819;508449978
1074691;BT_0051;+;46565;47545;0;403684569;118087975;392282731;593327097;0;468638417;127877137;396866596;358345915;117944771;264367695;0;333736755;139569491;256840441;0;5037853
1074698;BT_0052;+;47716;48834;470913825;471867217;517624233;6878094;260077695;426651444;205421934;112106766;463897683;104717707;310197909;521470593;386019386;585157742;815714451;1013245869;50691415;220828141
1074932;BT_0053;+;48834;49958;351301713;234675296;411890856;456094056;0;42437597;20432635;446035453;0;312477638;20569568;115264315;671931079;29101845;202840993;671894594;126052652;329475586
1074834;BT_0054;+;50011;51132;117413674;0;123897651;457313558;2593823;0;102436339;335421046;346992986;104437713;103122834;115572508;384987249;213984155;610150047;449127403;252779382;0
1075051;BT_0055;+;51140;52255;118044931;236567839;519015696;459772234;521553657;213899178;205974143;449632513;5814309;314997619;311031774;0;96764268;97788458;102238404;225771033;381207617;44284353
1075052;BT_0056;+;52276;53298;1030210303;129037003;339719365;250784855;284483813;116672279;561747663;122627049;888003557;114544589;33930739;380270834;21112204;106678318;0;1847217543;693104757;241551016
1075062;BT_0057;+;53288;53575;457424106;916700375;804474329;890808702;0;414429658;399074902;0;901217895;81374385;2008746874;45025123;0;378930274;396173815;0;984786343;0
1075059;BT_0058;+;53647;54777;232958696;233430334;409705759;1020767532;77195475;527655798;508105976;221834608;458975692;828853152;429669358;515937749;525145074;771932229;1210589483;334165083;0;436970273
1075073;BT_0059;+;54774;55715;419548224;280265083;368930902;953222051;463418696;0;0;0;275531586;248787929;614139172;550625708;917103383;463405176;242246409;133736981;0;524642653
1072710;BT_0060;+;55754;56539;502817338;671780428;736923049;1305612755;1481053134;759260442;0;159602381;330217244;745414213;441617633;3299551;412171463;347111701;1016140473;160280199;240558496;353683239
1074689;BT_0061;+;56555;58894;675580218;564123308;792097801;1425293924;746222925;918121089;442052199;536100304;221838251;851301258;395568615;443324288;922982251;839476299;731397813;538377079;242408946;580806321
1072711;BT_0062;+;58891;59103;1236977863;619741099;543869969;2408947477;3415809165;0;2158376935;353373158;0;1100273374;0;608790395;1520970751;1024712853;1607014913;591456509;1997313146;1160125303
1072708;BT_0063;+;59156;59356;0;0;576339818;1914573928;1447895228;1187619319;571808815;0;645648641;582980668;2014743133;0;0;162883461;567652034;0;705518574;0
1073930;BT_0064;+;59377;61551;1635370044;1395913399;1438067214;2418084864;1538763135;2140171917;1321075538;1384247957;71600208;915882733;638365903;238477893;1092301753;1103863087;629506531;1158438956;717196123;738479762
1072135;BT_0065;+;61621;64158;1297657038;728159163;821590804;1465727794;802674778;1363796889;86041681;543704563;613595163;554038366;59265156;306554029;1148818333;69515341;854161985;694926442;335246415;584176571
1074937;BT_0066;+;64273;65475;1204588169;658378324;1733331222;1812717958;2177258909;595290481;955391287;834230897;86301165;1558491961;1250332219;574884363;1286651068;544298847;1327824458;733052082;707277972;958574024
1073996;BT_0067;+;65813;66064;2613852033;1047657572;919399233;1018067089;1732303219;1420901685;0;99561485;0;464996485;0;0;0;129918951;0;999843146;1125470106;1470873152
1075573;BT_0068;+;66092;66571;82336339;825030338;482684597;267242611;1212612253;994631179;718334824;522697796;270365369;732369465;48209925;0;449953847;909432657;237704289;0;0;514805603
1072075;BT_0069;-;66856;67662;2122175777;179932267;1435493226;1589547127;721256359;591602189;569683132;310898317;160812115;1742440362;716876208;2249582353;1471967976;1758011085;706927254;468328016;527171871;306204076
